episodes:steps:mean_steps(10):rwd:mean_rwd:rwd_sum:rwd_sum-?*step:iter
    198:   112:    111.0: -0.10000: -0.04994:     -5.6: -16.79333:     22770
    199:   134:    114.3: -0.10000: -0.01703:     -2.3: -15.68236:     22904
    200:   111:    110.0: -0.10000: -0.05956:     -6.6: -17.71087:     23015
    201:    81:    102.4: -0.10000:  0.00608:      0.5:  -7.60712:     23096
    202:   123:    104.9: -0.10000:  0.02067:      2.5:  -9.75767:     23219
    203:    96:    107.2: -0.10000:  0.00565:      0.5:  -9.05728:     23315
    204:   243:    125.3: -0.10000:  0.04539:     11.0: -13.26975:     23558
    205:    84:    125.4: -0.10000: -0.00026:     -0.0:  -8.42168:     23642
    206:    72:    118.5: -0.10000:  0.01775:      1.3:  -5.92210:     23714
    207:   107:    116.3: -0.10000:  0.00446:      0.5: -10.22255:     23821
    208:    96:    114.7: -0.10000:  0.02664:      2.6:  -7.04241:     23917
    209:   268:    128.1: -0.10000:  0.02719:      7.3: -19.51439:     24185
    210:   118:    128.8: -0.10000: -0.00853:     -1.0: -12.80649:     24303
    211:   157:    136.4: -0.10000:  0.03578:      5.6: -10.08177:     24460
    212:   119:    136.0: -0.10000: -0.03333:     -4.0: -15.86651:     24579
    213:   126:    139.0: -0.10000:  0.01869:      2.4: -10.24555:     24705
    214:    77:    122.4: -0.10000: -0.00253:     -0.2:  -7.89482:     24782
    215:    69:    120.9: -0.10000: -0.00630:     -0.4:  -7.33495:     24851
    216:    56:    119.3: -0.10000:  0.00434:      0.2:  -5.35675:     24907
    217:    80:    116.6: -0.10000: -0.00687:     -0.5:  -8.54928:     24987
    218:    88:    115.8: -0.10000:  0.02033:      1.8:  -7.01085:     25075
    219:    68:     95.8: -0.10000: -0.03680:     -2.5:  -9.30211:     25143
    220:    79:     91.9: -0.10000:  0.00033:      0.0:  -7.87398:     25222
    221:   373:    113.5: -0.10000:  0.06784:     25.3: -11.99398:     25595
    222:   148:    116.4: -0.10000:  0.00160:      0.2: -14.56383:     25743
    223:   143:    118.1: -0.10000:  0.02393:      3.4: -10.87835:     25886
    224:    95:    119.9: -0.10000:  0.01014:      1.0:  -8.53701:     25981
    225:    96:    122.6: -0.10000: -0.00758:     -0.7: -10.32766:     26077
    226:    82:    125.2: -0.10000:  0.01044:      0.9:  -7.34380:     26159
    227:    83:    125.5: -0.10000: -0.00279:     -0.2:  -8.53125:     26242
    228:    64:    123.1: -0.10000:  0.00910:      0.6:  -5.81785:     26306
    229:    54:    121.7: -0.10000:  0.00677:      0.4:  -5.03416:     26360
    230:    83:    122.1: -0.10000:  0.00935:      0.8:  -7.52416:     26443
    231:    56:     90.4: -0.10000: -0.03227:     -1.8:  -7.40730:     26499
    232:    88:     84.4: -0.10000: -0.03801:     -3.3: -12.14463:     26587
    233:    79:     78.0: -0.10000:  0.00453:      0.4:  -7.54182:     26666
    234:   182:     86.7: -0.10000:  0.01872:      3.4: -14.79323:     26848
    235:    67:     83.8: -0.10000:  0.00220:      0.1:  -6.55250:     26915
    236:    75:     83.1: -0.10000:  0.02029:      1.5:  -5.97855:     26990
    237:   100:     84.8: -0.10000:  0.01797:      1.8:  -8.20266:     27090
    238:    83:     86.7: -0.10000:  0.00132:      0.1:  -8.19053:     27173
    239:    75:     88.8: -0.10000:  0.02269:      1.7:  -5.79861:     27248
    240:    94:     89.9: -0.10000:  0.00566:      0.5:  -8.86769:     27342
    241:   101:     94.4: -0.10000: -0.03071:     -3.1: -13.20185:     27443
    242:    63:     91.9: -0.10000:  0.00044:      0.0:  -6.27209:     27506
    243:   101:     94.1: -0.10000:  0.00546:      0.6:  -9.54901:     27607
    244:   144:     90.3: -0.10000: -0.00863:     -1.2: -15.64323:     27751
    245:   275:    111.1: -0.10000:  0.07062:     19.4:  -8.07950:     28026
    246:   104:    114.0: -0.10000:  0.00467:      0.5:  -9.91471:     28130
    247:    96:    113.6: -0.10000:  0.01291:      1.2:  -8.36059:     28226
    248:   114:    116.7: -0.10000:  0.01192:      1.4: -10.04110:     28340
    249:    63:    115.5: -0.10000: -0.02009:     -1.3:  -7.56538:     28403
